ORG_NAME,ADDR_LINE_1,ADDR_CITY,ADDR_POSTAL_CODE,APP_TYPE,CIRCLE,Provisional
The Children's Place Family Center,1800 N Humboldt Park Blvd,Chicago,60647,Licensed Child Care Center,Silver Circle of Quality,
Happy Holiday Nursery and Kindergarten,401 E 111th St,Chicago,60628-4501,Licensed Child Care Center,Gold Circle of Quality,
North Lawndale YMCA,3449 W Arthington St,Chicago,60624-4104,Licensed Child Care Center,Gold Circle of Quality,
Albany Park Headstart,5101 N Kimball Ave,Chicago,60625-4807,Licensed Child Care Center,Gold Circle of Quality,
Ada S McKinley Maggie Drummond,4301 S Wabash Ave,Chicago,60653-3118,Licensed Child Care Center,Gold Circle of Quality,
Little People Day Care & Kindergarten,7428 N Rogers Ave,Chicago,60626-1610,Licensed Child Care Center,Silver Circle of Quality,
Malcolm X College Child Development Cent,1900 W Van Buren St,Chicago,60612-3145,Licensed Child Care Center,Gold Circle of Quality,
El Hogar Del Nino/Cuidar,1710 S Loomis St # 18,Chicago,60608-2129,Licensed Child Care Center,Gold Circle of Quality,
"Creative Mansion Children's Academy,Inc.",4745 S Ellis Ave,Chicago,60615-1807,Licensed Child Care Center,Silver Circle of Quality,
"Little Tykes Pre-School, Inc.",1711 W 35th St,Chicago,60609-1224,Licensed Child Care Center,Silver Circle of Quality,
McKinley Roseland Head Start,11400 S Edbrooke Ave,Chicago,60628-4930,Licensed Child Care Center,Gold Circle of Quality,
George's Sunshine Preschool & Kindergart,2100 W Devon Ave,Chicago,60659-2106,Licensed Child Care Center,Silver Circle of Quality,
Albany Park Community Day Care Center,3401 W Ainslie St,Chicago,60625-5105,Licensed Child Care Center,Gold Circle of Quality,
Lake Shore School,5611 N Clark St # 21,Chicago,60660-4108,Licensed Child Care Center,Gold Circle of Quality,
Teddy Bear Nursery School #2,3473 W Columbus Ave,Chicago,60652-2537,Licensed Child Care Center,Silver Circle of Quality,
St. Joseph Day Care Center,4800 S Paulina St,Chicago,60609-4164,Licensed Child Care Center,Gold Circle of Quality,
A Step Ahead Learning Center,4208 - 20 N. Broadway,Chicago,60613-1610,Licensed Child Care Center,Gold Circle of Quality (PROVISIONAL),Provisional
High Ridge YMCA Small World,2424 W Touhy Ave,Chicago,60645-3397,Licensed Child Care Center,Gold Circle of Quality,
Hope for Youth Day Care,5900 W Iowa St,Chicago,60651-2527,Licensed Child Care Center,Bronze Circle of Quality,
Paulo Freire Center,1653 W 43rd St,Chicago,60609-3103,Licensed Child Care Center,Gold Circle of Quality,
McKinley Ersula Howard Child,7222 S Exchange Ave,Chicago,60649-2526,Licensed Child Care Center,Gold Circle of Quality,
Dorothy Sutton Branch Head Start,8601 S State St,Chicago,60619-5614,Licensed Child Care Center,Gold Circle of Quality,
Wabash YMCA School Age Program,3763 S Wabash Ave,Chicago,60653-1528,Licensed Child Care Center,Silver Circle of Quality (PROVISIONAL),Provisional
McCormick Tribune YMCA,1834 N Lawndale Ave,Chicago,60647-4700,Licensed Child Care Center,Gold Circle of Quality,
Wentworth Elementary,1340 W 71st St,Chicago,60636-4150,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Burke Elem School,5356 S King Dr,Chicago,60615-3643,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Charles J Sahs Elem School,5001 S Long Ave,Chicago,60638-1733,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Azuela Elem School,4707 W Marquette Rd,Chicago,60629-5641,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Barnard Elem Comp Math & Sci Ctr,10354 S Charles St,Chicago,60643-2998,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Barton Elem School,7650 S Wolcott Ave,Chicago,60620-5227,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Bass Elem School,1140 W 66th St,Chicago,60621-1240,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Bateman Elem School,4220 N Richmond St,Chicago,60618-2616,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Beidler Elem School,3151 W Walnut St,Chicago,60612-1836,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Blair Early Childhood Center,6751 W 63rd Pl,Chicago,60638-4829,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Bond Elem School,7050 S May St,Chicago,60621-1114,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Boone Elem School,6710 N Washtenaw Ave,Chicago,60645-4511,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Bouchet Elem Math & Science Acad,7355 S Jeffery Blvd,Chicago,60649-3121,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Bradwell Comm Arts & Sci Elem Sch,7736 S Burnham Ave,Chicago,60649-4702,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Brennemann Elem School,4251 N Clarendon Ave,Chicago,60613-1523,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Brentano Elem Mat & Science Acad,2723 N Fairfield Ave,Chicago,60647-1827,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Bridge Elem School,3800 N New England Ave,Chicago,60634-2346,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Bright Elem School,10740 S Calhoun Ave,Chicago,60617-6418,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Brighton Park Elem School,3825 S Washtenaw Ave,Chicago,60632-1633,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Brunson Math & Sci Specialty Elem,932 N Central Ave,Chicago,60651-2705,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Burbank Elem School,2035 N Mobile Ave,Chicago,60639-3809,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Alcott Elem School,2625 N Orchard St,Chicago,60614-1573,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Armstrong G Elem IntL Studies,2110 W Greenleaf Ave,Chicago,60645-3620,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Audubon Elem School,3500 N Hoyne Ave,Chicago,60618-6112,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Burley Elem School,1630 W Barry Ave,Chicago,60657-3016,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Burnside Elem Scholastic Academy,650 E 91st Pl,Chicago,60619-7698,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Burr Elem School,1621 W Wabansia Ave,Chicago,60622-1439,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Caldwell Elem Acad of Math & Sci,8546 S Cregier Ave,Chicago,60617-2296,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Calmeca Acad Elem School,3456 W 38th St,Chicago,60632-3304,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Cameron Elem School,1234 N Monticello Ave,Chicago,60651-2217,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Canty Elem School,3740 N Panama Ave,Chicago,60634-2021,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Cardenas Elem School,2345 S Millard Ave,Chicago,60623-3110,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Carroll Elem School,2929 W 83rd St,Chicago,60652-3400,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Carson Elem School,5516 S Maplewood Ave,Chicago,60629-1023,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Carter Elem School,5740 S Michigan Ave,Chicago,60637-1156,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Carver Primary School,901 E 133rd Pl,Chicago,60827-1427,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Cather Elem School,2908 W Washington Blvd,Chicago,60612-1934,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Chalmers Elem Specialty School,2745 W Roosevelt Rd,Chicago,60608-1047,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Chavez Elem Multicultural Acad Ct,4747 S Marshfield Ave,Chicago,60609-4159,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Claremont Academy Elem School,2300 W 64th St,Chicago,60636-2458,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Clay Elem School,13231 S Burley Ave,Chicago,60633-1492,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Cleveland Elem School,3121 W Byron St,Chicago,60618-3403,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Coleman J Elem Academy,1441 W 119th St,Chicago,60643-5094,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Coonley Elem School,4046 N Leavitt St,Chicago,60618-2922,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Cooper Elem Dual Language Academy,1624 W 19th St,Chicago,60608-2902,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Corkery Elem School,2510 S Kidare Ave,Chicago,60623,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Courtenay Elem Language Arts Ctr,4420 N Beacon St,Chicago,60640-5732,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Crown Elem Comm Acd Fine Arts Ctr,2128 S Saint Louis Ave,Chicago,60623-3121,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Curtis Elem School,32 E 115th St,Chicago,60628-5510,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Darwin Elem School,3116 W Belden Ave,Chicago,60647-2806,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Davis N Elem School,3014 W 39th Pl,Chicago,60632-2402,Preschool for All/Prevention Initiative,Silver Circle of Quality,
De Diego Elem Community Academy,1313 N Claremont Ave,Chicago,60622-2910,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Depriest Elem School,139 S Parkside Ave,Chicago,60644-3944,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Dett Elem School,2131 W Monroe St,Chicago,60612-3014,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Dewey Elem Academy of Fine Arts,5415 S Union Ave,Chicago,60609-5244,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Dirkson Elem School,8601 W Foster Ave,Chicago,60656-2721,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Disney Elem Magnet School,4140 N Marine Dr,Chicago,60613-2311,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Disney II Elem School,3815 N Kedvale Ave,Chicago,60641-3113,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Dixon Elem School,8306 S Saint Lawrence Ave,Chicago,60619-5791,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Dodge Elem School,431 N Troy St,Chicago,60612-1713,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Dore Elem School,6108 S Natoma Ave,Chicago,60638-4116,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Drake Elem School,2710 S Dearborn St,Chicago,60616-2684,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Dubois Elem School,330 E 133rd St,Chicago,60827-1807,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Dunne Technology Acad Elem Sch,10845 S Union Ave,Chicago,60628-3115,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Durkin Park Elem School,8445 S Kolin Ave,Chicago,60652-3131,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Dvorak Technology Acad Elem Sch,3615 W 16th St,Chicago,60623-2001,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Earle Elem School,2040 W 62nd St,Chicago,60636-2153,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Edwards Elem School,4815 S Karlov Ave,Chicago,60632-4123,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ellington Elem School,243 N Parkside Ave,Chicago,60644-2243,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ericson Elem Scholastic Academy,3600 W 5th Ave,Chicago,60624-3162,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Everett Elem School,3419 S Bell Ave,Chicago,60608-6010,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Falconer Elem School,3020 N Lamon Ave,Chicago,60641-5195,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Farnesworth Elem School,5414 N Linder Ave,Chicago,60630-1329,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Farragut Career Academy HS,2345 S Christiana Ave,Chicago,60623-3217,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Finkl Elem School,2332 S Western Ave,Chicago,60608-3818,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Fiske Elem School,6020 S Langley Ave,Chicago,60637-2595,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Fulton Elem School,5300 S Hermitage Ave,Chicago,60609-5726,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Oglesby Elem School,7646 S Green St,Chicago,60620-2854,Preschool for All/Prevention Initiative,Silver Circle of Quality,
OKeeffe Elem School,6940 S Merrill Ave,Chicago,60649-1721,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Gale Elem Community Academy,1631 W Jonquil Ter,Chicago,60626-1103,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Otis Elem School,525 N Armour St,Chicago,60642-6105,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Garcia Lorca Elem School,3231 N Springfield Ave,Chicago,60618-5109,Preschool for All/Prevention Initiative,Gold Circle of Quality,
OToole Elem School,6550 S Seeley Ave,Chicago,60636-2500,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Gary Elem School,3740 W 31st St,Chicago,60623-5035,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Park Manor Elem School,7037 S Rhodes Ave,Chicago,60637-4617,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Parker Elem Community Academy,6800 S Stewart Ave,Chicago,60621-2441,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Pasteur Elem School,5825 S Kostner Ave,Chicago,60629-5238,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Penn Elem School,1616 S Avers Ave,Chicago,60623-2401,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Pershing Elem Humanities Magnet,3200 S Calumet Ave,Chicago,60616-4866,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Piccolo Elem Specialty School,1040 N Keeler Ave,Chicago,60651-3514,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Portage Park Elem School,5330 W Berteau Ave,Chicago,60641-1398,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Prieto Math-Science Elem Sch,2231 N Central Ave,Chicago,60639-2956,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Prussing Elem School,4650 N Menard Ave,Chicago,60630-3348,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Reavis Elem Math & Sci Spec Schl,834 E 50th St,Chicago,60615-2620,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Reinberg Elem School,3425 N Major Ave,Chicago,60634-4334,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ruggles Elem School,7831 S Prairie Ave,Chicago,60619-2893,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Ryder Elem Math & Sci Spec School,8716 S Wallace St,Chicago,60620-2124,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Salazar Elem Bilingual Center,160 W Wendell St,Chicago,60610-2727,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Green W Elem School,1150 W 96th St,Chicago,60643-1461,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Sandoval Elem School,5534 S Saint Louis Ave,Chicago,60629-3810,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Scammon Elem School,4201 W Henderson St,Chicago,60641-4627,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Gregory Math & Sci Elem Academy,3715 W Polk St,Chicago,60624-4016,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Gresham Elem School,8524 S Green St,Chicago,60620-3234,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Schmid Elem School,9755 S Greenwood Ave,Chicago,60628-1610,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Schubert Elem School,2727 N Long Ave,Chicago,60639-1529,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Sherman Elem School,1000 W 52nd St,Chicago,60609-6012,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Sherwood Elem School,245 W 57th St,Chicago,60621-4055,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Grimes Elem School,5450 W 64th Pl,Chicago,60638-5634,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Skinner Elem School,111 S Throop St,Chicago,60607-2530,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Smyser Elem School,4310 N Melvina Ave,Chicago,60634-1542,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Smyth J Elem School,1059 W 13th St,Chicago,60608-1526,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Gunsaulus Elem Scholastic Academy,4420 S Sacramento Ave,Chicago,60632-2509,Preschool for All/Prevention Initiative,Gold Circle of Quality,
South Loop Elem School,1212 S Plymouth Ct,Chicago,60605-2718,Preschool for All/Prevention Initiative,Gold Circle of Quality,
South Shore Fine Arts Elem Sch,1415 E 70th St,Chicago,60637-4879,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Hale Elem School,6140 S Melvina Ave,Chicago,60638-4300,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Stevenson Elem School,8010 S Kostner Ave,Chicago,60652-2110,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Stock Early Childhood Center,7507 W Birchwood Ave,Chicago,60631-4322,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Stowe Elem School,3444 W Wabansia Ave,Chicago,60647-4813,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hamline Elem School,4747 S Bishop St,Chicago,60609-4206,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Hammond Elem School,2819 W 21st Pl,Chicago,60623-3503,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Tanner Elem School,7350 S Evans Ave,Chicago,60619-1990,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Tarkington Elem School,3330 W 71st St,Chicago,60629-3503,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Thomas Early Childhood Center,3625 S Hoyne Ave,Chicago,60609-1147,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Tilton Elem School,223 N Keeler Ave,Chicago,60624-2209,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Tonti Elem School,5815 S Homan Ave,Chicago,60629-3636,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hanson Park Elem School,5411 W Fullerton Ave,Chicago,60639-1459,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Vick Early Childhood & Family Ctr,2554 W 113th St,Chicago,60655-1430,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Volta Elem School,4950 N Avers Ave,Chicago,60625-6011,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Walsh Elem School,2015 S Peoria St,Chicago,60608-3432,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Ward J Elem School,2701 S Shields Ave,Chicago,60616-2624,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Ward L Elem School,646 N Lawndale Ave,Chicago,60624-1254,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Warren Elem School,9239 S Jeffery Ave,Chicago,60617-3795,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Washington G Elem School,3611 E 114th St,Chicago,60617-7498,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Webster Elem School,4055 W Arthington St,Chicago,60624-3502,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Wells Preparatory Elem Academy,249 E 37th St,Chicago,60653-1001,Preschool for All/Prevention Initiative,Silver Circle of Quality,
West Park Elem Academy,1425 N Tripp Ave,Chicago,60651-1829,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Healy Elem School,3010 S Parnell Ave,Chicago,60616-3199,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Hearst Elem School,4640 S Lamon Ave,Chicago,60638-2044,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hedges Elem School,4747 S Winchester Ave,Chicago,60609-4140,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Henderson Elem School,5650 S Wolcott Ave,Chicago,60636-1127,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Henry Elem School,4250 N Saint Louis Ave,Chicago,60618-1121,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Herzl Elem School,3711 W Douglas Blvd,Chicago,60623-1413,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Hibbard Elem School,3244 W Ainslie St,Chicago,60625-5018,Preschool for All/Prevention Initiative,Silver Circle of Quality,
White Elem Career Academy,1136 W 122nd St,Chicago,60643-5542,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Whitney Elem School,2815 S Komensky Ave,Chicago,60623-4450,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Whittier Elem School,1900 W 23rd St,Chicago,60608-4208,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Hurley Elem School,3849 W 69th Pl,Chicago,60629-4210,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Yates Elem School,1839 N Richmond St,Chicago,60647-5125,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Jackson M Elem School,917 W 88th St,Chicago,60620-3204,Preschool for All/Prevention Initiative,Silver Circle of Quality,
Young Elem School,1434 N Parkside Ave,Chicago,60651-1106,Preschool for All/Prevention Initiative,Gold Circle of Quality,
Jenner Elem Academy of the Arts,1119 N Cleveland Ave,Chicago,60610-2426,Preschool for All/Prevention Initiative,Silver Circle of Quality,
McCutcheon Elem School,4865 N Sheridan Rd,Chicago,60640-3717,Preschool for All/Prevention Initiative,Gold Circle of Quality,
